Datum;MW
01.01.2017 00:00:00;0.0
01.01.2017 00:15:00;0.0
01.01.2017 00:30:00;0.0
01.01.2017 00:45:00;0.0
01.01.2017 01:00:00;0.0
01.01.2017 01:15:00;0.0
01.01.2017 01:30:00;0.0
01.01.2017 01:45:00;0.0
01.01.2017 02:00:00;0.0
01.01.2017 02:15:00;0.0
01.01.2017 02:30:00;0.0
01.01.2017 02:45:00;0.0
01.01.2017 03:00:00;0.0
01.01.2017 03:15:00;0.0
01.01.2017 03:30:00;0.0
01.01.2017 03:45:00;0.0
01.01.2017 04:00:00;0.0
01.01.2017 04:15:00;0.0
01.01.2017 04:30:00;0.0
01.01.2017 04:45:00;0.0
01.01.2017 05:00:00;0.0
01.01.2017 05:15:00;0.0
01.01.2017 05:30:00;0.074458
01.01.2017 05:45:00;0.100715
01.01.2017 06:00:00;0.214739
01.01.2017 06:15:00;0.185381
01.01.2017 06:30:00;0.207953
01.01.2017 06:45:00;0.217336
01.01.2017 07:00:00;0.188082
01.01.2017 07:15:00;0.227102
01.01.2017 07:30:00;0.291459
01.01.2017 07:45:00;0.359537
01.01.2017 08:00:00;0.345957
01.01.2017 08:15:00;0.490691
01.01.2017 08:30:00;0.58253
01.01.2017 08:45:00;0.580559
01.01.2017 09:00:00;0.544105
01.01.2017 09:15:00;0.521312
01.01.2017 09:30:00;0.520464
01.01.2017 09:45:00;0.55238
01.01.2017 10:00:00;0.53908
01.01.2017 10:15:00;0.492363
01.01.2017 10:30:00;0.560707
01.01.2017 10:45:00;0.666728
01.01.2017 11:00:00;0.679356
01.01.2017 11:15:00;0.688922
01.01.2017 11:30:00;0.663614
01.01.2017 11:45:00;0.86646
01.01.2017 12:00:00;1.004106
01.01.2017 12:15:00;1.375673
01.01.2017 12:30:00;1.536777
01.01.2017 12:45:00;2.222317
01.01.2017 13:00:00;2.233517
01.01.2017 13:15:00;2.413515
01.01.2017 13:30:00;2.360147
01.01.2017 13:45:00;2.543545
01.01.2017 14:00:00;2.728267
01.01.2017 14:15:00;2.903484
01.01.2017 14:30:00;3.114275
01.01.2017 14:45:00;3.218564
01.01.2017 15:00:00;3.424932
01.01.2017 15:15:00;3.755723
01.01.2017 15:30:00;3.915507
01.01.2017 15:45:00;4.110396
01.01.2017 16:00:00;4.450646
01.01.2017 16:15:00;4.08537
01.01.2017 16:30:00;3.938981
01.01.2017 16:45:00;3.80415
01.01.2017 17:00:00;3.588501
01.01.2017 17:15:00;3.511038
01.01.2017 17:30:00;3.230666
01.01.2017 17:45:00;3.09843
01.01.2017 18:00:00;2.843381
01.01.2017 18:15:00;2.654635
01.01.2017 18:30:00;2.348283
01.01.2017 18:45:00;2.296342
01.01.2017 19:00:00;2.187411
01.01.2017 19:15:00;2.042832
01.01.2017 19:30:00;1.986466
01.01.2017 19:45:00;1.876203
01.01.2017 20:00:00;1.667716
01.01.2017 20:15:00;1.332939
01.01.2017 20:30:00;1.134765
01.01.2017 20:45:00;0.774723
01.01.2017 21:00:00;0.556145
01.01.2017 21:15:00;0.348288
01.01.2017 21:30:00;0.181231
01.01.2017 21:45:00;0.0
01.01.2017 22:00:00;0.0
01.01.2017 22:15:00;0.0
01.01.2017 22:30:00;0.0
01.01.2017 22:45:00;0.0
01.01.2017 23:00:00;0.0
01.01.2017 23:15:00;0.0
01.01.2017 23:30:00;0.0
01.01.2017 23:45:00;0.0
